"key","RU","EN"
"RU","русский","russian"
"EN","английский","english"
"translation_not_found","перевод не найден","translation not found"
"add","добавить","add"
"cart","корзина","cart"
"failed_authorization","не удалось авторизоваться","failed authorization"
"successful_authentication","успешная аутентификация","successful authentication"
"successful_logout","успешный выход","successful logout"
"failed_to_logout","не удалось выйти","failed to logout"
"confirmation_mail_was_sent_to_your_email","письмо с подтверждением было отправлено на вашу почту","confirmation mail was sent to your email"
"failed_to_register","не удалось зарегистрироваться","failed to register"
"email","почта","email"
"password","пароль","password"
"login","войти","login"
"user_with_this_email_not_exist","пользователь с такой почтой не существует","user with this email not exist"
"invalid_password","неверный пароль","invalid password"
"edit","редактировать","edit"
"delivery_addresses","адреса доставки","delivery addresses"
"order_history","история заказов","order history"
"favourite_products","избранные продукты","favourite products"
"total","итого","total"
"make_order","оформить заказ","Checkout"
"products","продукты","products"
"checkout","оформление заказа","checkout"
"user_with_this_email_does_not_exist","пользователь с такой почтой не существует","user with this email does not exist"
"first_name","имя","first name"
"last_name","фамилия","last name"
"phone","телефон","phone"
"enter_first_name","введите имя","enter first name"
"enter_last_name","введите фамилию","enter last name"
"enter_phone","введите телефон","enter phone"
"enter_email","введите почту","enter email"
"buy","купить","buy"
"address","адрес","address"
"enter_address","введите адрес","enter address"
"delivery_date","дата доставки","delivery date"
"enter_delivery_date","введите дату доставки","enter delivery date"
"full_name","полное имя","full name"
"enter_full_name","введите полное имя","enter full name"
"order_comment","комментарий к заказу","order comment"
"enter_order_comment","введите комментарий к заказу","enter order comment"
"thank_you_for_your_order","спасибо за ваш заказ!","thank you for your order!"
"name","название","name"
"price","цена","price"
"cart_item_product_id_required","идентификатор продукта обязателен","product id is required"
"cart_item_quantity_is_not_a_number","количество товара не является числом","quantity is not a number"
"cart_item_quantity_less_than_or_equal_to_zero","количество товара меньше или равно нулю","quantity less than or equal to zero"
"cart_item_price_per_unit_is_not_a_number","цена за единицу товара не является числом","price per unit is not a number"
"cart_item_price_per_unit_less_than_or_equal_to_zero","цена за единицу товара меньше или равна нулю","price per unit less than or equal to zero"
"cart_item_total_price_is_not_a_number","общая цена товара не является числом","total price is not a number"
"cart_item_total_price_less_than_or_equal_to_zero","общая цена товара меньше или равна нулю","total price less than or equal to zero"
"failed_make_order","произошла ошибка при оформлении заказа","an error occurred while placing an order"
"customer_name_required","имя клиента обязательно","customer name required"
"customer_phone_required","телефон клиента обязателен","customer phone required"
"customer_email_required","почта клиента обязательна","customer email required"
"delivery_address_required","адрес доставки обязателен","delivery address required"
"full_name_required","полное имя обязательно","full name required"
"email_required","почта обязательна","email required"
"email_invalid","неверная почта","invalid email"
"phone_required","телефон обязателен","phone required"
"phone_invalid_format","неверный формат телефона","invalid phone format"
"address_required","адрес обязателен","address required"
"order_name_required","имя в заказе обязательно","name in order is required"
"order_phone_required","телефон в заказе обязателен","phone in order is required"
"order_email_required","почта в заказе обязательна","email in order is required"
"order_delivery_address_required","адрес доставки в заказе обязателен","delivery address in order is required"
"order_products_is_not_array","продукты в заказе не являются массивом","products in order is not an array"
"no_products_in_order","нет продуктов в заказе","no products in order"
"order_invalid_quantity","неверное количество в заказе","invalid quantity in order"
"order_invalid_price","неверная цена в заказе","invalid price in order"
"order_products_number_not_equal_to_quantity","количество продуктов в заказе не равно количеству","number of products in order is not equal to quantity"
"order_invalid_product_total_price","неверная общая цена продукта в заказе","invalid total price of product in order"
"order_invalid_total_price","неверная общая цена в заказе","invalid total price in order"
"floor","этаж","floor"
"enter_floor","введите этаж","enter floor"
"apartment","квартира","apartment"
"enter_apartment","введите квартиру","enter apartment"
"delivery_instruction_for_courier","инструкция к доставке для курьера","delivery instruction for courier"
"enter_delivery_instruction","введите инструкцию к доставке","enter delivery instruction"
"order_success","заказ успешно оформлен","order successfully placed"
"cart_is_empty","корзина пуста","cart is empty"
"go_to_catalog","перейти в каталог","go to catalog"
"receiver","получатель","receiver"
"sign_up","зарегистрироваться","sign up"
"or","или","or"
"sign_in","войти","sign in"
"ex_establishment_name","напр. название заведения","e.g. establishment name"
"register","зарегистрироваться","register"
"quantity","количество","quantity"
"logout","выйти","logout"
"previous_orders","предыдущие заказы","previous orders"
"failed_to_get_orders","не удалось получить заказы","failed to get orders"
"order_number","номер заказа","order number"
"order_status","статус заказа","order status"
"no_orders","нет заказов","no orders"
"delivery_instruction","инструкция к доставке","delivery instruction"
"order_date","дата заказа","order date"
"current_delivery_point","текущая точка доставки","current delivery point"
"no_delivery_points","нет точек доставки","no delivery points"
"delivery_point_was_added","точка доставки была добавлена","delivery point was added"
"failed_to_add_delivery_point","не удалось добавить точку доставки","failed to add delivery point"
"delivery_point_was_updated","точка доставки была обновлена","delivery point was updated"
"failed_to_update_delivery_point","не удалось обновить точку доставки","failed to update delivery point"
"delivery_point_was_deleted","точка доставки была удалена","delivery point was deleted"
"failed_to_delete_delivery_point","не удалось удалить точку доставки","failed to delete delivery point"
"last_delivery_point_was_changed","была изменена последняя точка доставки","last delivery point was changed"
"failed_to_change_last_delivery_point","не удалось изменить последнюю точку доставки","failed to change last delivery point"
"delete","удалить","delete"
"update","обновить","update"
"make_current_delivery_point","сделать текущей точкой доставки","make current delivery point"
"add_delivery_point","добавить точку доставки","add delivery point"
"save","сохранить","save"
"cancel","отменить","cancel"
"delivery_point_edit","редактирование точки доставки","delivery point edit"
"please_enter_address","пожалуйста, введите адрес","please enter address"
"please_enter_floor","пожалуйста, введите этаж","please enter floor"
"please_enter_apartment","пожалуйста, введите квартиру","please enter apartment"
"delivery_point_add","добавление точки доставки","delivery point add"
"settings","настройки","settings"
"available_amount","доступное количество","available amount"
"unit","единица измерения","unit"
"moq","минимальное количество заказа","moq"
"cutOffTime","время последнего заказа","cut-off time"
"please_write_down_the_delivery_date_and_time","пожалуйста, запишите дату и время доставки","please write down the delivery date and time"
"may_16th_2024_10_00","16 мая 2024, 14:30","may 16th 2024, 14:30"
"delivery_date","дата доставки","delivery date"
"moq_not_met","минимальное количество заказа не выполнено","MOQ not met"
